WATER,TOWN,Y_coord,X_coord
WEBB R,Carthage,44.6543167670036,-70.42273442282664
DEAD R (SOUTH BRANCH),Coplin Plt,45.08992033653231,-70.52471193048163
TEMPLE STREAM,Temple,44.72718296005801,-70.26966872474631
PATTEN P (LOWER),Surry,44.54334988353266,-68.55063132146557
BELGRADE STREAM,Belgrade,44.43986394475647,-69.83577065661841
ECHO L (CROTCHED P),Fayette,44.425307536108875,-70.03845014926326
SALMON L (ELLIS P),Belgrade,44.53588874639909,-69.78006542888
MESSALONSKEE STREAM,Oakland,44.56994242921453,-69.68269551678199
MESSALONSKEE STREAM,Waterville,44.55180186647602, -69.64078897790834
SAM ASSOCIATION P (LOWER SMALL),Augusta,44.33485179069713,-69.71975582128444
SAM ASSOCIATION P (UPPER BIG),Augusta,44.33881642856996,-69.71384097107371
CHINA L,Vassalboro,44.446119928787496,-69.57950870092802
MONMOUTH SPORTSMAN CLUB P,Monmouth,44.25283652510234,-70.06343171984197
WAYNE F&G CLUB P,Winthrop,44.30711514976116,-70.00227655658544
LONG P,Rome,44.54689912365781,-69.89915490688855
MONTSWEAG B,Wiscasset,44.035125259940926,-69.70082146563541
ANDROSCOGGIN R (LITTLE),Greenwood,44.333561456726436,-70.62557946193832
AUNT HANNAH B,Dixfield,44.5678091524411,-70.42680752889821
SWIFT R,Byron,44.71364520592,-70.6271349273728
NEZINSCOT R (EAST BRANCH),Buckfield,44.30716290444359,-70.36185715266251
NEZINSCOT R (EAST BRANCH),Hartford,44.368677678570656,-70.38253125205846
NEZINSCOT R (WEST BRANCH),Buckfield,44.28825431820364,-70.3750538888642
SPEARS STREAM,Peru,44.49383960665521,-70.47502615530686
GREELEY B,Otisfield,44.14538516148043,-70.5405962481631
NEZINSCOT R (EAST BRANCH),Peru,44.429240089367156,-70.42813802215395
NEZINSCOT R (EAST BRANCH),Sumner,44.402269186483835,-70.39693579676286
WILD R,Batchelders Grant Twp,44.35442917649236,-70.99348198919166
HANCOCK B,Hiram,43.878013723362606,-70.77569772023938
SUNDAY R,Newry,44.4784273464111,-70.82904191526205
